TargetID,Name,Organism
CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,Homo sapiens
CHEMBL1075104,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens
CHEMBL1075115,Dual specificity tyrosine-phosphorylation-regulated kinase 4,Homo sapiens
CHEMBL1075121,Putative hydrolase RBBP9,Homo sapiens
CHEMBL1075131,Lactase-phlorizin hydrolase,Homo sapiens
CHEMBL1075133,G protein-coupled receptor kinase 7,Homo sapiens
CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens
CHEMBL1075145,Transitional endoplasmic reticulum ATPase,Homo sapiens
CHEMBL1075149,Cystine/glutamate transporter,Homo sapiens
CHEMBL1075155,Serine/threonine-protein kinase 38,Homo sapiens
CHEMBL1075163,Serine/threonine-protein kinase haspin,Homo sapiens
CHEMBL1075167,Homeodomain-interacting protein kinase 4,Homo sapiens
CHEMBL1075173,Serine/threonine-protein kinase WNK1,Homo sapiens
CHEMBL1075181,Pyridoxal kinase,Homo sapiens
CHEMBL1075195,Serine/threonine-protein kinase TAO2,Homo sapiens
CHEMBL1075319,Transient receptor potential cation channel subfamily M member 8,Homo sapiens
CHEMBL1075323,Endoplasmin,Homo sapiens
CHEMBL1075382,23132-87,Homo sapiens
CHEMBL1075383,639-V,Homo sapiens
CHEMBL1075384,647-V,Homo sapiens
CHEMBL1075385,769-P,Homo sapiens
CHEMBL1075386,8305C,Homo sapiens
CHEMBL1075387,8505C,Homo sapiens
CHEMBL1075391,ABC-1,Homo sapiens
CHEMBL1075392,AN3-CA,Homo sapiens
CHEMBL1075393,AU565,Homo sapiens
CHEMBL1075394,BCPAP,Homo sapiens
CHEMBL1075395,BEN,Homo sapiens
CHEMBL1075396,BFTC-905,Homo sapiens
CHEMBL1075397,BFTC-909,Homo sapiens
CHEMBL1075398,BHT-101,Homo sapiens
CHEMBL1075399,BHY,Homo sapiens
CHEMBL1075400,C-4-II,Homo sapiens
CHEMBL1075401,C32,Homo sapiens
CHEMBL1075402,C3A,Homo sapiens
CHEMBL1075403,Ca-Ski,Homo sapiens
CHEMBL1075404,Ca9-22,Homo sapiens
CHEMBL1075405,CAL-120,Homo sapiens
CHEMBL1075406,CAL-12T,Homo sapiens
CHEMBL1075407,CAL-148,Homo sapiens
CHEMBL1075408,CAL-27,Homo sapiens
CHEMBL1075409,CAL-33,Homo sapiens
CHEMBL1075410,CAL-39,Homo sapiens
CHEMBL1075411,CAL-51,Homo sapiens
CHEMBL1075412,CAL-54,Homo sapiens
CHEMBL1075413,CAL-62,Homo sapiens
CHEMBL1075414,CAL-72,Homo sapiens
CHEMBL1075415,CAL-85-1,Homo sapiens
CHEMBL1075416,CAMA-1,Homo sapiens
CHEMBL1075417,Capan-2,Homo sapiens
CHEMBL1075418,CaR-1,Homo sapiens
CHEMBL1075419,CCF-STTG1,Homo sapiens
CHEMBL1075421,ChaGo-K-1,Homo sapiens
CHEMBL1075422,CHL-1,Homo sapiens
CHEMBL1075423,CHP-212,Homo sapiens
CHEMBL1075425,COLO-678,Homo sapiens
CHEMBL1075426,COLO-679,Homo sapiens
CHEMBL1075427,COLO-680N,Homo sapiens
CHEMBL1075428,COLO-741,Homo sapiens
